model,year,macro_f1
random_forest,2017,0.3586582378616558
random_forest,2018,0.36450611180799736
random_forest,2019,0.3560480647390198
random_forest,2020,0.36647728953672076
random_forest,2021,0.3528666663683788
random_forest,2022,0.33637863251661204
random_forest,2023,0.3277529785846518
random_forest,2024,0.33466403222460145
random_forest,2025,0.3264014086629174
sequence_cnn1d,2017,0.3272315690989121
sequence_cnn1d,2018,0.34414462781155547
sequence_cnn1d,2019,0.3392037529618646
sequence_cnn1d,2020,0.3588732055981733
sequence_cnn1d,2021,0.3512326258239436
sequence_cnn1d,2022,0.3394951670647484
sequence_cnn1d,2023,0.34349228218862465
sequence_cnn1d,2024,0.3444803497855485
sequence_cnn1d,2025,0.35274821377509885
